PRODUCT_ID,NAME,DESCRIPTION,VECTOR
501,UltraSound Earphones,Bluetooth headphones with noise-canceling features and deep bass,42494E4152595F424C4F425F504C414345484F4C444552
502,SmartSpeaker Z1,Gaming headphones with surround sound and noise isolation,42494E4152595F424C4F425F504C414345484F4C444552
503,BassBoost Headphones,Over-ear headphones with studio-quality sound and comfort fit,42494E4152595F424C4F425F504C414345484F4C444552
504,UltraSound Earphones,High-fidelity sound system with Bluetooth and AUX input,42494E4152595F424C4F425F504C414345484F4C444552
505,UltraSound Earphones,Professional-grade headphones for musicians and DJs,42494E4152595F424C4F425F504C414345484F4C444552
506,ClearVoice Mic,Bluetooth headphones with noise-canceling features and deep bass,42494E4152595F424C4F425F504C414345484F4C444552
507,NoiseBuds Pro,Wireless earbuds with long battery life and quick charge,42494E4152595F424C4F425F504C414345484F4C444552
508,BassBoost Headphones,Gaming headphones with surround sound and noise isolation,42494E4152595F424C4F425F504C414345484F4C444552
509,TrueSound 360,Professional-grade headphones for musicians and DJs,42494E4152595F424C4F425F504C414345484F4C444552
510,NoiseBuds Pro,High-fidelity sound system with Bluetooth and AUX input,42494E4152595F424C4F425F504C414345484F4C444552
511,BassBoost Headphones,High-fidelity sound system with Bluetooth and AUX input,42494E4152595F424C4F425F504C414345484F4C444552
512,ClearVoice Mic,Gaming headphones with surround sound and noise isolation,42494E4152595F424C4F425F504C414345484F4C444552
513,Gaming Headset X,Professional-grade headphones for musicians and DJs,42494E4152595F424C4F425F504C414345484F4C444552
514,SmartSpeaker Z1,Bluetooth headphones with noise-canceling features and deep bass,42494E4152595F424C4F425F504C414345484F4C444552
515,SoundMax 200,USB microphone with clear voice pickup and background noise reduction,42494E4152595F424C4F425F504C414345484F4C444552
516,EchoMini,Smart speaker with voice assistant and multi-room support,42494E4152595F424C4F425F504C414345484F4C444552
517,SoundMax 200,Gaming headphones with surround sound and noise isolation,42494E4152595F424C4F425F504C414345484F4C444552
518,EchoMini,Wireless earbuds with long battery life and quick charge,42494E4152595F424C4F425F504C414345484F4C444552
